symbol,name,category
UNIECOM,Unicommerce eSolutions Ltd,smallcap
BIGBLOC,Bigbloc Construction Limited,smallcap
IGL,Indraprastha Gas Limited,smallcap
SNOWMAN,Snowman Logistics Limited,smallcap
AMAGI,Amagi Media Labs Ltd,smallcap
ORIENTTECH,Orient Technologies Ltd,smallcap
WELSPUNLIV,Welspun Living Ltd,smallcap
BLUSPRING,Bluspring Enterprises Ltd,smallcap
ALEMBICLTD,Alembic Limited,smallcap
KSHINTL,KSH International Ltd,smallcap
MAHLIFE,Mahindra Lifespace Developers Limited,smallcap
BAJEL,Bajel Projects Ltd,smallcap
HERITGFOOD,Heritage Foods Limited,smallcap
IRMENERGY,IRM Energy Ltd,smallcap
SIGNPOST,Signpost India Ltd,smallcap
GUJENERGY,Gujarat Energy Ltd,smallcap
TRITURBINE,Triveni Turbine Limited,smallcap
RALLIS,Rallis India Limited,smallcap
WINDMACHIN,Windsor Machines Limited,smallcap
KAMDHENU,Kamdhenu Limited,smallcap
HITECH,Hi-Tech Pipes Ltd,smallcap
CORDELIA,Waterways Leisure Tourism Limited,smallcap
PRIMO,Primo Chemicals Ltd,smallcap
ELECON,Elecon Engineering Company Limited,smallcap
BORORENEW,Borosil Renewables Ltd,smallcap
ZENSARTECH,Zensar Technologies Limited,smallcap
SPIC,Southern Petrochemicals Industries Corporation  Limited,smallcap
ONESOURCE,OneSource Specialty Pharma Ltd,smallcap
RESPONIND,Responsive Industries Limited,smallcap
JKIL,J.kumar Infraprojects Limited,smallcap
FSL,Firstsource Solutions Limited,smallcap
MMTC,Mmtc Limited,smallcap
ZENTEC,Zen Technologies Limited,smallcap
SEIL,Shanti Educational Initiatives Ltd,smallcap
SUPRIYA,Supriya Lifescience Ltd,smallcap
IIFLCAPS,IIFL Capital Services Ltd,smallcap
SAGILITY,Sagility India Ltd,smallcap
VSTIND,Vst Industries Limited,smallcap
RRKABEL,R R Kabel Ltd,smallcap
MATRIMONY,Matrimony.com Ltd,smallcap
BHAGCHEM,Bhagiradha Chemicals & Industries Ltd,smallcap
SJVN,Sjvn Limited,smallcap
HONASA,Honasa Consumer Ltd,smallcap
ARTEMISMED,Artemis Medicare Services Ltd,smallcap
SHALPAINTS,Shalimar Paints Limited,smallcap
HEXAGON,Hexagon Nutrition Ltd,smallcap
MANAKCOAT,Manaksia Coated Metals & Industries Limited,smallcap
MICEL,MIC Electronics Ltd,smallcap
GANESHCP,Ganesh Consumer Products Ltd,smallcap
EDELWEISS,Edelweiss Financial Services Limited,smallcap
KSCL,Kaveri Seed Company Limited,smallcap
SBC,SBC Exports Ltd,smallcap
BODALCHEM,Bodal Chemicals Limited,smallcap
SHARDACROP,Sharda Cropchem Limited,smallcap
STLTECH,Sterlite Technologies Limited,smallcap
SWANCORP,Swan Corp Ltd,smallcap
MANINFRA,Man Infraconstruction Limited,smallcap
SMCGLOBAL,SMC Global Securities Ltd,smallcap
SGMART,SG Mart Ltd,smallcap
JMFINANCIL,Jm Financial Limited,smallcap
PVP,Pvp Ventures Limited,smallcap
ATL,Allcargo Terminals Ltd,smallcap
BHARATCOAL,Bharat Coking Coal Ltd,smallcap
DEN,Den Networks Limited,smallcap
BLACKBUCK,BlackBuck Ltd,smallcap
MIDHANI,Mishra Dhatu Nigam Ltd,smallcap
SANDUMA,Sandur Manganese & Iron Ores Ltd,smallcap
BOMDYEING,Bombay Dyeing & Mfg Company Limited,smallcap
CIEINDIA,CIE Automotive India Ltd,smallcap
LAXMIDENTL,Laxmi Dental Ltd,smallcap
CRAMC,Canara Robeco Asset Management Company Ltd,smallcap
SYNGENE,Syngene International Limited,smallcap
SBFC,SBFC Finance Ltd,smallcap
CYIENT,Cyient Limited,smallcap
BLUEJET,Blue Jet Healthcare Ltd,smallcap
MSUMI,Motherson Sumi Wiring India Ltd,smallcap
HTMEDIA,Ht Media Limited,smallcap
ASHOKA,Ashoka Buildcon Limited,smallcap
AVANTIFEED,Avanti Feeds Limited,smallcap
DATAMATICS,Datamatics Global Services Limited,smallcap
AARTIIND,Aarti Industries Limited,smallcap
KPITTECH,KPIT Technologies Ltd,smallcap
SCILAL,Shipping Corporation of India Land & Assets Ltd,smallcap
ECLERX,Eclerx Services Limited,smallcap
SHAREINDIA,Share India Securities Ltd,smallcap
MUNJALAU,Munjal Auto Industries Limited,smallcap
TECHNOE,Techno Electric & Engineering Company Ltd,smallcap
DOLLAR,Dollar Industries Ltd,smallcap
GHCL,Ghcl Limited,smallcap
SINDHUTRAD,Sindhu Trade Links Ltd,smallcap
ACC,Acc Limited,smallcap
SHYAMMETL,Shyam Metalics & Energy Ltd,smallcap
ICIL,Indo Count Industries Limited,smallcap
KPIGREEN,KPI Green Energy Ltd,smallcap
BSOFT,Birlasoft Ltd,smallcap
BLUESTARCO,Blue Star Limited,smallcap
IGIL,International Gemmological Institute (India) Ltd,smallcap
GSPCROP,GSP Crop Science Ltd,smallcap
FLAIR,Flair Writing Industries Ltd,smallcap
NUVAMA,Nuvama Wealth Management Ltd,smallcap
RELTD,Ravindra Energy Ltd,smallcap
SURYODAY,Suryoday Small Finance Bank Ltd,smallcap
V2RETAIL,V2 Retail Limited,smallcap
MANALIPETC,Manali Petrochemicals Limited,smallcap
WAKEFIT,Wakefit Innovations Ltd,smallcap
GRSE,Garden Reach Shipbuilders & Engineers Ltd,smallcap
REDINGTON,Redington (india) Limited,smallcap
SWSOLAR,Sterling & Wilson Renewable Energy Ltd,smallcap
ACUTAAS,Acutaas Chemicals Ltd,smallcap
DEEPAKFERT,Deepak Fertilizers And Petrochemicals Corporation Limited,smallcap
STAR,Strides Shasun Limited,smallcap
AJMERA,Ajmera Realty & Infra India Limited,smallcap
MASFIN,MAS Financial Services Ltd,smallcap
JYOTHYLAB,Jyothy Laboratories Limited,smallcap
GKSL,Gujarat Kidney & Super Speciality Ltd,smallcap
MARSONS,Marsons Ltd,smallcap
NBCC,Nbcc (india) Limited,smallcap
UJJIVANSFB,Ujjivan Small Finance Bank Ltd,smallcap
PSB,Punjab & Sind Bank,smallcap
IKS,Inventurus Knowledge Solutions Ltd,smallcap
DBREALTY,Valor Estate Ltd,smallcap
OPTIEMUS,Optiemus Infracom Ltd,smallcap
SAMMAANCAP,Sammaan Capital Ltd,smallcap
GENUSPOWER,Genus Power Infrastructures Limited,smallcap
KUSUMGAR,Kusumgar Ltd,smallcap
JAICORPLTD,Jai Corp Limited,smallcap
DEEDEV,DEE Development Engineers Ltd,smallcap
RITES,Rites Ltd,smallcap
GHCLTEXTIL,GHCL Textiles Ltd,smallcap
JAGRAN,Jagran Prakashan Limited,smallcap
SFL,Sheela Foam Limited,smallcap
EUREKAFORB,Eureka Forbes Ltd,smallcap
BRIGHOTEL,Brigade Hotel Ventures Ltd,smallcap
KEC,Kec International Limited,smallcap
IEX,Indian Energy Exchange Ltd,smallcap
HMAAGRO,HMA Agro Industries Ltd,smallcap
CCL,Ccl Products (india) Limited,smallcap
FIRSTCRY,Brainbees Solutions Ltd,smallcap
NATCOPHARM,Natco Pharma Limited,smallcap
ARSSBL,Anand Rathi Share & Stock Brokers Ltd,smallcap
DAMCAPITAL,Dam Capital Advisors Ltd,smallcap
PRICOLLTD,Pricol Ltd.,smallcap
TATACHEM,Tata Chemicals Limited,smallcap
AWL,AWL Agri Business Ltd,smallcap
AVANTEL,Avantel Ltd,smallcap
ALGOQUANT,Algoquant Fintech Ltd,smallcap
CRIZAC,Crizac Ltd,smallcap
NETWEB,Netweb Technologies India Ltd,smallcap
EMAMILTD,Emami Limited,smallcap
FEDDERSHOL,Fedders Holding Ltd,smallcap
AQYLON,Aqylon Nexus Ltd,smallcap
PARAS,Paras Defence and Space Technologies Ltd,smallcap
AWFIS,AWFIS Space Solutions Ltd,smallcap
ACMESOLAR,ACME Solar Holdings Ltd,smallcap
HPL,Hpl Electric & Power Limited,smallcap
GOKULAGRO,Gokul Agro Resources Limited,smallcap
VINCOFE,Vintage Coffee & Beverages Ltd,smallcap
IFGLEXPOR,IFGL Refractories Ltd,smallcap
KFINTECH,KFin Technologies Ltd,smallcap
PNGJL,P N Gadgil Jewellers Ltd,smallcap
NAVA,Nava Ltd,smallcap
NETWORK18,Network18 Media & Investments Limited,smallcap
RAMRAT,Ram Ratna Wires Ltd,smallcap
GPPL,Gujarat Pipavav Port Limited,smallcap
HEMIPROP,Hemisphere Properties India Ltd,smallcap
DDEVPLSTIK,DDev Plastiks Industries Ltd,smallcap
LICHSGFIN,Lic Housing Finance Limited,smallcap
ITDC,India Tourism Development Corporation Ltd,smallcap
VIMTALABS,Vimta Labs Limited,smallcap
PFS,Ptc India Financial Services Limited,smallcap
DEVYANI,Devyani International Ltd,smallcap
IMFA,Indian Metals & Ferro Alloys Limited,smallcap
MARKSANS,Marksans Pharma Limited,smallcap
TTML,Tata Teleservices (maharashtra) Limited,smallcap
KWIL,Kwality Walls India Ltd,smallcap
GESHIP,The Great Eastern Shipping Company Limited,smallcap
ROLEXRINGS,Rolex Rings Ltd,smallcap
ANTELOPUS,Antelopus Selan Energy Ltd,smallcap
TITAGARH,Titagarh Rail Systems Ltd,smallcap
AADHARHFC,Aadhar Housing Finance Ltd,smallcap
NOCIL,Nocil Limited,smallcap
IRCON,Ircon International Ltd,smallcap
JAYNECOIND,Jayaswal Neco Industries Limited,smallcap
DEEPAKNTR,Deepak Nitrite Limited,smallcap
CROMPTON,Crompton Greaves Consumer Electricals Limited,smallcap
SPMLINFRA,Spml Infra Limited,smallcap
STALLION,Stallion India Fluorochemicals Ltd,smallcap
DIACABS,Diamond Power Infrastructure Ltd,smallcap
CAPACITE,Capacite Infraprojects Ltd,smallcap
ELGIEQUIP,Elgi Equipments Limited,smallcap
MANINDS,Man Industries (india) Limited,smallcap
JWL,Jupiter Wagons Ltd,smallcap
ARFIN,Arfin India Ltd,smallcap
MERCURYEV,Mercury EV-Tech Ltd,smallcap
ZAGGLE,Zaggle Prepaid Ocean Services Ltd,smallcap
GOLDIAM,Goldiam International Limited,smallcap
CAMPUS,Campus Activewear Ltd,smallcap
PVRINOX,PVR Inox Ltd,smallcap
GMRP&UI,GMR Power & Urban Infra Ltd,smallcap
ESAFSFB,ESAF Small Finance Bank Ltd,smallcap
BATAINDIA,Bata India Limited,smallcap
PARKHOSPS,Park Medi World Ltd,smallcap
UCOBANK,Uco Bank Ltd,smallcap
HIKAL,Hikal Limited,smallcap
JSWCEMENT,JSW Cement Ltd,smallcap
CENTRALBK,Central Bank Of India Ltd,smallcap
MTNL,Mahanagar Telephone Nigam Limited,smallcap
IPL,India Pesticides Ltd,smallcap
CARTRADE,Cartrade Tech Ltd,smallcap
EIHOTEL,Eih Limited,smallcap
JKLAKSHMI,Jk Lakshmi Cement Limited,smallcap
LTFOODS,L T Foods Ltd,smallcap
SOLARWORLD,Solarworld Energy Solutions Ltd,smallcap
RSYSTEMS,R Systems International Limited,smallcap
SHAKTIPUMP,Shakti Pumps (india) Limited,smallcap
MOSCHIP,Moschip Technologies Ltd,smallcap
GREENPANEL,Greenpanel Industries Ltd,smallcap
LLOYDSENT,Lloyds Enterprises Ltd,smallcap
MSPL,Msp Steel & Power Limited,smallcap
GOKEX,Gokaldas Exports Limited,smallcap
UFBL,United Foodbrands Ltd,smallcap
RELIGARE,Religare Enterprises Limited,smallcap
RADHIKAJWE,Radhika Jeweltech Ltd,smallcap
OLECTRA,Olectra Greentech Ltd,smallcap
VIYASH,Viyash Scientific Ltd,smallcap
DECNGOLD,Deccan Gold Mines Ltd,smallcap
VSSL,Vardhman Special Steels Limited,smallcap
KRBL,Krbl Limited,smallcap
GCSL,Gretex Corporate Services Ltd,smallcap
AEROFLEX,Aeroflex Industries Ltd,smallcap
WHIRLPOOL,Whirlpool Of India Limited,smallcap
KARURVYSYA,Karur Vysya Bank Limited,smallcap
EFCIL,EFC (I) Ltd,smallcap
TEXRAIL,Texmaco Rail & Engineering Limited,smallcap
ABSLAMC,Aditya Birla Sun Life AMC Ltd,smallcap
CMPDI,Central Mine Planning & Design Institute Ltd,smallcap
SANSERA,Sansera Engineering Ltd,smallcap
SUDARSCHEM,Sudarshan Chemical Industries Limited,smallcap
SCPL,Sheetal Cool Products Ltd,smallcap
MOREPENLAB,Morepen Laboratories Limited,smallcap
EMSLIMITED,EMS Ltd,smallcap
DBL,Dilip Buildcon Limited,smallcap
NAVNETEDUL,Navneet Education Limited,smallcap
ORIENTHOT,Oriental Hotels Limited,smallcap
THEMISMED,Themis Medicare Limited,smallcap
MGL,Mahanagar Gas Limited,smallcap
PGEL,Pg Electroplast Limited,smallcap
KIRLOSENG,Kirloskar Oil Engines Limited,smallcap
GODIGIT,Go Digit General Insurance Ltd,smallcap
PGIL,Pearl Global Industries Limited,smallcap
JBMA,Jbm Auto Limited,smallcap
ASIANENE,Asian Energy Services Ltd,smallcap
SCODATUBES,Scoda Tubes Ltd,smallcap
GPIL,Godawari Power And Ispat Limited,smallcap
HAPPSTMNDS,Happiest Minds Technologies Ltd,smallcap
MUKANDLTD,Mukand Limited,smallcap
INDIACEM,The India Cements Limited,smallcap
TNPETRO,Tamilnadu Petroproducts Limited,smallcap
TRIDENT,Trident Limited,smallcap
FRACTAL,Fractal Analytics Ltd,smallcap
TENNIND,Tenneco Clean Air India Ltd,smallcap
STUDDS,Studds Accessories Ltd,smallcap
AGIIL,AGI Infra Ltd,smallcap
PARAGMILK,Parag Milk Foods Limited,smallcap
STARCEMENT,Star Cement Ltd,smallcap
SHREEJISPG,Shreeji Shipping Global Ltd,smallcap
IDEAFORGE,Ideaforge Technology Ltd,smallcap
MSTCLTD,MSTC Ltd,smallcap
KTKBANK,The Karnataka Bank Limited,smallcap
GOPAL,Gopal Snacks Ltd,smallcap
PREMIERPOL,Premier Polyfilm Limited,smallcap
RPOWER,Reliance Power Limited,smallcap
PFOCUS,Prime Focus Limited,smallcap
FIEMIND,Fiem Industries Limited,smallcap
BHARATSE,Bharat Seats Ltd,smallcap
LLOYDSENGG,Lloyds Engineering Works Ltd,smallcap
SAPPHIRE,Sapphire Foods India Ltd,smallcap
NRL,Nupur Recyclers Ltd,smallcap
TEXINFRA,Texmaco Infrastructure & Holdings Limited,smallcap
WELENT,Welspun Enterprises Limited,smallcap
EMUDHRA,eMudhra Ltd,smallcap
SMSPHARMA,Sms Pharmaceuticals Limited,smallcap
HCC,Hindustan Construction Company Limited,smallcap
BALUFORGE,Balu Forge Industries Ltd,smallcap
ROTO,Roto Pumps Ltd,smallcap
RTNINDIA,RattanIndia Enterprises Ltd,smallcap
AEQUS,Aequs Ltd,smallcap
EIDPARRY,Eid Parry India Limited,smallcap
EVEREADY,Eveready Industries India Limited,smallcap
TNPL,Tamil Nadu Newsprint & Papers Limited,smallcap
RATEGAIN,Rategain Travel Technologies Ltd,smallcap
SIS,Security & Intelligence Services India,smallcap
CAMLINFINE,Camlin Fine Sciences Limited,smallcap
JSFB,Jana Small Finance Bank Ltd,smallcap
ARVIND,Arvind Limited,smallcap
GVPIL,GE Power India Ltd,smallcap
OMAXE,Omaxe Limited,smallcap
BLKASHYAP,B. L. Kashyap And Sons Limited,smallcap
SURYAROSNI,Surya Roshni Limited,smallcap
KCP,Kcp Limited,smallcap
GLOBUSSPR,Globus Spirits Limited,smallcap
TIRUMALCHM,Thirumalai Chemicals Limited,smallcap
CANHLIFE,Canara HSBC Life Insurance Company Ltd,smallcap
IGARASHI,Igarashi Motors India Limited,smallcap
VAIBHAVGBL,Vaibhav Global Limited,smallcap
SANDHAR,Sandhar Technologies Limited,smallcap
ANANTRAJ,Anant Raj Limited,smallcap
FINPIPE,Finolex Industries Limited,smallcap
GREAVESCOT,Greaves Cotton Limited,smallcap
IOLCP,Iol Chemicals And Pharmaceuticals Limited,smallcap
CMRGREEN,CMR Green Technologies Ltd,smallcap
TFCILTD,Tourism Finance Corporation Of India Limited,smallcap
HIMATSEIDE,Himatsingka Seide Limited,smallcap
BANDHANBNK,Bandhan Bank Ltd,smallcap
GOODLUCK,Goodluck India Limited,smallcap
TDPOWERSYS,Td Power Systems Limited,smallcap
KOPRAN,Kopran Limited,smallcap
APOLLOPIPE,Apollo Pipes Ltd,smallcap
SPANDANA,Spandana Sphoorty Financial Ltd,smallcap
WEBELSOLAR,Websol Energy System Limited,smallcap
RAJESHEXPO,Rajesh Exports Limited,smallcap
JAINREC,Jain Resource Recycling Ltd,smallcap
GABRIEL,Gabriel India Limited,smallcap
KALAMANDIR,Sai Silks (Kalamandir) Ltd,smallcap
MTARTECH,MTAR Technologies Ltd,smallcap
SPORTKING,Sportking India Ltd,smallcap
LCL,Lohia Corp Ltd,smallcap
PACEDIGITK,Pace Digitek Ltd,smallcap
PANACEABIO,Panacea Biotec Limited,smallcap
SATIN,Satin Creditcare Network Limited,smallcap
AVALON,Avalon Technologies Ltd,smallcap
THELEELA,Leela Palaces Hotels & Resorts Ltd,smallcap
ANUHPHR,Anuh Pharma Ltd,smallcap
CIGNITITEC,Cigniti Technologies Limited,smallcap
GRANULES,Granules India Limited,smallcap
WSTCSTPAPR,West Coast Paper Mills Limited,smallcap
IBULLSLTD,Indiabulls Limited,smallcap
SAKAR,Sakar Healthcare Ltd,smallcap
KISSHT,Onemi Technology Solutions Ltd,smallcap
BAJAJELEC,Bajaj Electricals Limited,smallcap
TIRUPATIFL,Tirupati Forge Ltd,smallcap
SUNFLAG,Sunflag Iron And Steel Company Limited,smallcap
MCLOUD,Magellanic Cloud Ltd,smallcap
PARACABLES,Paramount Communications Limited,smallcap
NUVOCO,Nuvoco Vistas Corporation Ltd,smallcap
TPLPLASTEH,Tpl Plastech Limited,smallcap
GOCLCORP,Gocl Corporation Limited,smallcap
PRSMJOHNSN,Prism Johnson Ltd,smallcap
ASIANTILES,Asian Granito India Limited,smallcap
SAURASHCEM,Saurashtra Cement Ltd,smallcap
YATRA,Yatra Online Ltd,smallcap
GALLANTT,Gallant Ispat Ltd,smallcap
NITCO,Nitco Limited,smallcap
CLEANMAX,Clean Max Enviro Energy Solutions Ltd,smallcap
GANDHAR,Gandhar Oil Refinery (India) Ltd,smallcap
MRPL,Mangalore Refinery And Petrochemicals Limited,smallcap
INA,Insolation Energy Ltd,smallcap
DCAL,Dishman Carbogen Amcis Ltd,smallcap
ABLBL,Aditya Birla Lifestyle Brands Ltd,smallcap
GKENERGY,GK Energy Ltd,smallcap
SOUTHBANK,The South Indian Bank Limited,smallcap
JKTYRE,Jk Tyre & Industries Limited,smallcap
GANECOS,Ganesha Ecosphere Limited,smallcap
ONEPOINT,One Point One Solutions Ltd,smallcap
FDC,Fdc Limited,smallcap
J&KBANK,The Jammu & Kashmir Bank Limited,smallcap
CHALET,Chalet Hotels Ltd,smallcap
DCBBANK,Dcb Bank Limited,smallcap
RUSTOMJEE,Keystone Realtors Ltd,smallcap
AXISCADES,AXISCADES Technologies Ltd,smallcap
SPARC,Sun Pharma Advanced Research Company Limited,smallcap
CHEMPLASTS,Chemplast Sanmar Ltd,smallcap
KLBRENG-B,Kilburn Engineering Ltd,smallcap
CHENNPETRO,Chennai Petroleum Corporation Limited,smallcap
GODAVARIB,Godavari Biorefineries Ltd,smallcap
LEMONTREE,Lemon Tree Hotels Ltd,smallcap
SAMHI,Samhi Hotels Ltd,smallcap
XPROINDIA,Xpro India Limited,smallcap
POKARNA,Pokarna Limited,smallcap
HINDWAREAP,Hindware Home Innovation Ltd,smallcap
APTUS,Aptus Value Housing Finance India Ltd,smallcap
MAPMYINDIA,C.E. Info Systems Ltd,smallcap
BANSALWIRE,Bansal Wire Industries Ltd,smallcap
INFOBEAN,InfoBeans Technologies Ltd,smallcap
GENESYS,Genesys International Corporation Limited,smallcap
SULA,Sula Vineyards Ltd,smallcap
SJS,S J S Enterprises Ltd,smallcap
AEGISVOPAK,Aegis Vopak Terminals Ltd,smallcap
URBANCO,Urban Company Ltd,smallcap
AFFLE,Affle India Ltd,smallcap
IKIO,IKIO Lighting Ltd,smallcap
ULTRAMAR,Ultramarine & Pigments Ltd,smallcap
KAYNES,Kaynes Technology India Ltd,smallcap
NCLIND,Ncl Industries Limited,smallcap
REGAAL,Regaal Resources Ltd,smallcap
WELSPLSOL,Welspun Specialty Solutions Ltd,smallcap
SCI,Shipping Corporation Of India Limited,smallcap
NITINSPIN,Nitin Spinners Limited,smallcap
MEDIASSIST,Medi Assist Healthcare Services Ltd,smallcap
POWERMECH,Power Mech Projects Limited,smallcap
OSWALAGRO,Oswal Agro Mills Ltd,smallcap
ZYDUSWELL,Zydus Wellness Limited,smallcap
GRAUWEIL,Grauer & Weil (India) Ltd,smallcap
SGFIN,SG Finserve Ltd,smallcap
WANBURY,Wanbury Limited,smallcap
CELLO,Cello World Ltd,smallcap
EXICOM,Exicom Tele-Systems Ltd,smallcap
INDNIPPON,India Nippon Electricals Limited,smallcap
KPEL,K.P. Energy Ltd,smallcap
ABFRL,Aditya Birla Fashion And Retail Limited,smallcap
ARE&M,Amara Raja Energy & Mobility Ltd,smallcap
GALAPREC,Gala Precision Engineering Ltd,smallcap
APOLLO,Apollo Micro Systems Ltd,smallcap
MANGLMCEM,Mangalam Cement Limited,smallcap
ARKADE,Arkade Developers Ltd,smallcap
REDTAPE,Redtape Ltd,smallcap
TALBROAUTO,Talbros Automotive Components Limited,smallcap
WEWORK,Wework India Management Ltd,smallcap
TVSSCS,TVS Supply Chain Solutions Ltd,smallcap
CEIGALL,Ceigall India Ltd,smallcap
COFFEEDAY,Coffee Day Enterprises Limited,smallcap
AFCONS,Afcons Infrastructure Ltd,smallcap
INTERARCH,Interarch Building Products Ltd,smallcap
JINDWORLD,Jindal Worldwide Limited,smallcap
OLAELEC,Ola Electric Mobility Ltd,smallcap
VERANDA,Veranda Learning Solutions Ltd,smallcap
BHARATWIRE,Bharat Wire Ropes Limited,smallcap
OMNI,OMNI,smallcap
JNPR,Juniper Green Energy Ltd,smallcap
WOCKPHARMA,Wockhardt Limited,smallcap
MANAKSTEEL,Manaksia Steels Limited,smallcap
SALSTEEL,SAL Steel,smallcap
HBLENGINE,HBL Engineering Ltd,smallcap
STANLEY,Stanley Lifestyles Ltd,smallcap
CMLL,Caliber Mining and Logistics Ltd,smallcap
AMBER,Amber Enterprises India Ltd,smallcap
VIKRAMSOLR,Vikram Solar Ltd,smallcap
ADVANCE,Advance Agrolife Ltd,smallcap
KITEX,Kitex Garments Limited,smallcap
WINDLAS,Windlas Biotech Ltd,smallcap
RBA,Restaurant Brands Asia Ltd,smallcap
WAAREEINDO,Indosolar Ltd,smallcap
INDOTHAI,Indo Thai Securities Limited,smallcap
RELINFRA,Reliance Infrastructure Limited,smallcap
LOTUSDEV,Sri Lotus Developers & Realty Ltd,smallcap
JAYBARMARU,Jay Bharat Maruti Limited,smallcap
INDORAMA,Indo Rama Synthetics (india) Limited,smallcap
INDOFARM,Indo Farm Equipment Ltd,smallcap
INDIAGLYCO,India Glycols Limited,smallcap
RGL,Renaissance Global Ltd,smallcap
JINDRILL,Jindal Drilling And Industries Limited,smallcap
ASTRAMICRO,Astra Microwave Products Limited,smallcap
INOXWIND,Inox Wind Limited,smallcap
KERNEX,Kernex Microsystems (india) Limited,smallcap
IMAGICAA,Imagicaaworld Entertainment Ltd,smallcap
SMLMAH,SML Mahindra Ltd,smallcap
RICOAUTO,Rico Auto Industries Limited,smallcap
OSWALPUMPS,Oswal Pumps Ltd,smallcap
SUBROS,Subros Limited,smallcap
SALZERELEC,Salzer Electronics Limited,smallcap
PNCINFRA,Pnc Infratech Limited,smallcap
CAPILLARY,Capillary Technologies India Ltd,smallcap
INDIASHLTR,India Shelter Finance Corporation Ltd,smallcap
GSPL,Gujarat State Petronet Limited,smallcap
EXCELSOFT,Excelsoft Technologies Ltd,smallcap
RAIN,Rain Industries Limited,smallcap
JISLJALEQS,Jain Irrigation Systems Limited,smallcap
SOTL,Savita Oil Technologies Limited,smallcap
BANCOINDIA,Banco Products (i) Limited,smallcap
ADVENZYMES,Advanced Enzyme Technologies Limited,smallcap
TVSELECT,Tvs Electronics Limited,smallcap
JSLL,Jeena Sikho Lifecare Ltd,smallcap
DIFFNKG,Diffusion Engineers Ltd,smallcap
MBEL,M & B Engineering Ltd,smallcap
JAMNAAUTO,Jamna Auto Industries Limited,smallcap
GREENLAM,Greenlam Industries Limited,smallcap
ATULAUTO,Atul Auto Limited,smallcap
RAYMONDREL,Raymond Realty Ltd,smallcap
PTC,Ptc India Limited,smallcap
ASHAPURMIN,Ashapura Minechem Limited,smallcap
AMBIKCO,Ambika Cotton Mills Limited,smallcap
